accession	W	M	obs_hotspots	obs_idr_hotspots	empirical_p_idr_enrichment
P19823	15	2	14	0	1.0
P19827	15	2	0	0	1.0
P19835	15	2	0	0	1.0
P19838	15	2	26	0	1.0
P19875	15	2	0	0	1.0
P19876	15	2	0	0	1.0
P19878	15	2	0	0	1.0
P20061	15	2	0	0	1.0
P20062	15	2	0	0	1.0
P20073	15	2	0	0	1.0
P20132	15	2	0	0	1.0
P20138	15	2	0	0	1.0
P20142	15	2	0	0	1.0
P20151	15	2	0	0	1.0
P20155	15	2	0	0	1.0
P20366	15	2	0	0	1.0
P20382	15	2	0	0	1.0
P20393	15	2	11	0	1.0
P20396	15	2	0	0	1.0
P20472	15	2	0	0	1.0
P20585	15	2	0	0	1.0
P20591	15	2	0	0	1.0
P20592	15	2	0	0	1.0
P20794	15	2	13	0	1.0
P20800	15	2	0	0	1.0
P20807	15	2	0	0	1.0
P20809	15	2	0	0	1.0
P20810	15	2	0	0	1.0
P20813	15	2	0	0	1.0
P20815	15	2	0	0	1.0
P20823	15	2	0	0	1.0
P20702	15	2	0	0	1.0
P20711	15	2	0	0	1.0
P20718	15	2	0	0	1.0
P20719	15	2	0	0	1.0
P20742	15	2	0	0	1.0
P20749	15	2	11	0	1.0
P20774	15	2	0	0	1.0
P20783	15	2	0	0	1.0
P20929	15	2	0	0	1.0
P20930	15	2	0	0	1.0
P20933	15	2	0	0	1.0
P20936	15	2	0	0	1.0
P20941	15	2	0	0	1.0
P20962	15	2	0	0	1.0
P20963	15	2	0	0	1.0
P21108	15	2	0	0	1.0
P20292	15	2	0	0	1.0
P20309	15	2	0	0	1.0
P20333	15	2	0	0	1.0
P20336	15	2	0	0	1.0
P20337	15	2	0	0	1.0
P20338	15	2	0	0	1.0
P20339	15	2	0	0	1.0
P20340	15	2	0	0	1.0
P20594	15	2	25	0	1.0
P20618	15	2	0	0	1.0
P20645	15	2	0	0	1.0
P20648	15	2	0	0	1.0
P20671	15	2	74	0	1.0
P20674	15	2	0	0	1.0
P20700	15	2	0	0	1.0
P20701	15	2	0	0	1.0
P21462	15	2	0	0	1.0
P21506	15	2	0	0	1.0
P21549	15	2	0	0	1.0
P21554	15	2	0	0	1.0
P21579	15	2	0	0	1.0
P21580	15	2	0	0	1.0
P21583	15	2	0	0	1.0
P21589	15	2	0	0	1.0
P21127	15	2	9	0	1.0
P21128	15	2	0	0	1.0
P21145	15	2	0	0	1.0
P21217	15	2	0	0	1.0
P21246	15	2	0	0	1.0
P21266	15	2	0	0	1.0
P21281	15	2	0	0	1.0
P21283	15	2	0	0	1.0
P20827	15	2	0	0	1.0
P20839	15	2	0	0	1.0
P20848	15	2	0	0	1.0
P20849	15	2	0	0	1.0
P20851	15	2	0	0	1.0
P20853	15	2	0	0	1.0
P20908	15	2	294	0	1.0
P20916	15	2	0	0	1.0
P21854	15	2	0	0	1.0
P21860	15	2	0	0	1.0
P21912	15	2	0	0	1.0
P21917	15	2	0	0	1.0
P21918	15	2	0	0	1.0
P21926	15	2	0	0	1.0
P21941	15	2	0	0	1.0
P21953	15	2	0	0	1.0
P21964	15	2	0	0	1.0
P21980	15	2	0	0	1.0
P22001	15	2	0	0	1.0
P22003	15	2	0	0	1.0
P22004	15	2	0	0	1.0
P22033	15	2	0	0	1.0
P22059	15	2	0	0	1.0
P22061	15	2	0	0	1.0
P22079	15	2	0	0	1.0
P22083	15	2	0	0	1.0
P22087	15	2	14	0	1.0
P22090	15	2	0	0	1.0
P22102	15	2	0	0	1.0
P22103	15	2	0	0	1.0
P22105	15	2	0	0	1.0
P22223	15	2	0	0	1.0
P21673	15	2	0	0	1.0
P21675	15	2	0	0	1.0
P21695	15	2	0	0	1.0
P21709	15	2	0	0	1.0
P21728	15	2	0	0	1.0
P21730	15	2	33	0	1.0
P21731	15	2	0	0	1.0
P21741	15	2	0	0	1.0
P22352	15	2	0	0	1.0
P22362	15	2	0	0	1.0
P22392	15	2	0	0	1.0
P22413	15	2	0	0	1.0
P22415	15	2	0	0	1.0
P22455	15	2	14	0	1.0
P22459	15	2	0	0	1.0
P22460	15	2	0	0	1.0
P21291	15	2	0	0	1.0
P21333	15	2	0	0	1.0
P21359	15	2	0	0	1.0
P21397	15	2	0	0	1.0
P21399	15	2	0	0	1.0
P21439	15	2	0	0	1.0
P21452	15	2	0	0	1.0
P21453	15	2	0	0	1.0
P21754	15	2	0	0	1.0
P21757	15	2	0	0	1.0
P21781	15	2	0	0	1.0
P21796	15	2	0	0	1.0
P21802	15	2	27	0	1.0
P21810	15	2	0	0	1.0
P21815	15	2	4	0	1.0
P21817	15	2	0	0	1.0
P22234	15	2	0	0	1.0
P22301	15	2	0	0	1.0
P22303	15	2	0	0	1.0
P22304	15	2	0	0	1.0
P22307	15	2	0	0	1.0
P22309	15	2	0	0	1.0
P22310	15	2	0	0	1.0
P22314	15	2	0	0	1.0
P22792	15	2	0	0	1.0
P22794	15	2	0	0	1.0
P22830	15	2	0	0	1.0
P22888	15	2	0	0	1.0
P22891	15	2	42	0	1.0
P22894	15	2	0	0	1.0
P22897	15	2	0	0	1.0
P22914	15	2	0	0	1.0
P22466	15	2	0	0	1.0
P22492	15	2	0	0	1.0
P22528	15	2	0	0	1.0
P22531	15	2	0	0	1.0
P22532	15	2	0	0	1.0
P22557	15	2	0	0	1.0
P22570	15	2	0	0	1.0
P22607	15	2	0	0	1.0
P22694	15	2	0	0	1.0
P22695	15	2	0	0	1.0
P22732	15	2	0	0	1.0
P22735	15	2	15	0	1.0
P22736	15	2	0	0	1.0
P22748	15	2	0	0	1.0
P22749	15	2	0	0	1.0
P22760	15	2	0	0	1.0
P22612	15	2	0	0	1.0
P22626	15	2	25	0	1.0
P22670	15	2	0	0	1.0
P22674	15	2	0	0	1.0
P22676	15	2	0	0	1.0
P22680	15	2	0	0	1.0
P22681	15	2	0	0	1.0
P22692	15	2	0	0	1.0
P23025	15	2	0	0	1.0
P23083	15	2	0	0	1.0
P23109	15	2	0	0	1.0
P23141	15	2	0	0	1.0
P23142	15	2	0	0	1.0
P23193	15	2	0	0	1.0
P23219	15	2	0	0	1.0
P23229	15	2	0	0	1.0
P23368	15	2	0	0	1.0
P23378	15	2	0	0	1.0
P23381	15	2	0	0	1.0
P23396	15	2	20	0	1.0
P23409	15	2	0	0	1.0
P23415	15	2	0	0	1.0
P23416	15	2	0	0	1.0
P23434	15	2	0	0	1.0
P23246	15	2	20	0	1.0
P23258	15	2	0	0	1.0
P23276	15	2	0	0	1.0
P23280	15	2	0	0	1.0
P23284	15	2	0	0	1.0
P23297	15	2	0	0	1.0
P23327	15	2	0	0	1.0
P23352	15	2	0	0	1.0
P23528	15	2	0	0	1.0
P23560	15	2	0	0	1.0
P23582	15	2	0	0	1.0
P23588	15	2	0	0	1.0
P23610	15	2	0	0	1.0
P23634	15	2	0	0	1.0
P23677	15	2	0	0	1.0
P23743	15	2	0	0	1.0
P23435	15	2	0	0	1.0
P23443	15	2	12	0	1.0
P23458	15	2	14	0	1.0
P23467	15	2	0	0	1.0
P23468	15	2	0	0	1.0
P23469	15	2	0	0	1.0
P23470	15	2	0	0	1.0
P23471	15	2	0	0	1.0
P23942	15	2	0	0	1.0
P23945	15	2	0	0	1.0
P23946	15	2	0	0	1.0
P23975	15	2	0	0	1.0
P24001	15	2	0	0	1.0
P24043	15	2	0	0	1.0
P24046	15	2	0	0	1.0
P24071	15	2	0	0	1.0
P23759	15	2	0	0	1.0
P23760	15	2	15	0	1.0
P23763	15	2	0	0	1.0
P23769	15	2	0	0	1.0
P23771	15	2	0	0	1.0
P23786	15	2	0	0	1.0
P23919	15	2	0	0	1.0
P23921	15	2	0	0	1.0
P23490	15	2	0	0	1.0
P23497	15	2	0	0	1.0
P23508	15	2	0	0	1.0
P23510	15	2	0	0	1.0
P23511	15	2	0	0	1.0
P23515	15	2	0	0	1.0
P23526	15	2	0	0	1.0
P23527	15	2	133	0	1.0
P24158	15	2	0	0	1.0
P24278	15	2	0	0	1.0
P24298	15	2	0	0	1.0
P24310	15	2	0	0	1.0
P24311	15	2	0	0	1.0
P24347	15	2	0	0	1.0
P24385	15	2	0	0	1.0
P24386	15	2	0	0	1.0
P25021	15	2	0	0	1.0
P25024	15	2	0	0	1.0
P25025	15	2	0	0	1.0
P25054	15	2	0	0	1.0
P25063	15	2	0	0	1.0
P25067	15	2	0	0	1.0
P25089	15	2	0	0	1.0
P25090	15	2	0	0	1.0
P25092	15	2	0	0	1.0
P25098	15	2	0	0	1.0
P25100	15	2	0	0	1.0
P25101	15	2	0	0	1.0
P25103	15	2	0	0	1.0
P25105	15	2	0	0	1.0
P25106	15	2	0	0	1.0
P25116	15	2	0	0	1.0
P24387	15	2	0	0	1.0
P24390	15	2	0	0	1.0
P24394	15	2	0	0	1.0
P24462	15	2	0	0	1.0
P24468	15	2	0	0	1.0
P24522	15	2	0	0	1.0
P24530	15	2	0	0	1.0
P24534	15	2	0	0	1.0
P25445	15	2	0	0	1.0
P25490	15	2	0	0	1.0
P25685	15	2	0	0	1.0
P25686	15	2	0	0	1.0
P25705	15	2	0	0	1.0
P25713	15	2	0	0	1.0
P25774	15	2	0	0	1.0
P25786	15	2	0	0	1.0
P25189	15	2	0	0	1.0
P25205	15	2	0	0	1.0
P25208	15	2	0	0	1.0
P25311	15	2	0	0	1.0
P25325	15	2	0	0	1.0
P25391	15	2	0	0	1.0
P25398	15	2	0	0	1.0
P25440	15	2	0	0	1.0
P24539	15	2	0	0	1.0
P24557	15	2	0	0	1.0
P24588	15	2	0	0	1.0
P24592	15	2	0	0	1.0
P24593	15	2	0	0	1.0
P24666	15	2	14	0	1.0
P24723	15	2	0	0	1.0
P24752	15	2	0	0	1.0
P25787	15	2	0	0	1.0
P25788	15	2	0	0	1.0
P25789	15	2	0	0	1.0
P25791	15	2	0	0	1.0
P25800	15	2	0	0	1.0
P25815	15	2	0	0	1.0
P25874	15	2	0	0	1.0
P25929	15	2	0	0	1.0
P26374	15	2	0	0	1.0
P26378	15	2	14	0	1.0
P26436	15	2	0	0	1.0
P26439	15	2	0	0	1.0
P26440	15	2	0	0	1.0
P26441	15	2	0	0	1.0
P26447	15	2	0	0	1.0
P26572	15	2	0	0	1.0
P25940	15	2	0	0	1.0
P25942	15	2	0	0	1.0
P25963	15	2	35	0	1.0
P26006	15	2	0	0	1.0
P26010	15	2	0	0	1.0
P26012	15	2	0	0	1.0
P26022	15	2	0	0	1.0
P26038	15	2	0	0	1.0
P26717	15	2	0	0	1.0
P26718	15	2	0	0	1.0
P26842	15	2	0	0	1.0
P26885	15	2	0	0	1.0
P26927	15	2	0	0	1.0
P26951	15	2	0	0	1.0
P26992	15	2	0	0	1.0
P26998	15	2	0	0	1.0
P26045	15	2	0	0	1.0
P26196	15	2	0	0	1.0
P26232	15	2	0	0	1.0
P26358	15	2	53	0	1.0
P26367	15	2	0	0	1.0
P26368	15	2	0	0	1.0
P26371	15	2	0	0	1.0
P26373	15	2	0	0	1.0
P24821	15	2	0	0	1.0
P24844	15	2	14	0	1.0
P24855	15	2	0	0	1.0
P24863	15	2	0	0	1.0
P24864	15	2	15	0	1.0
P24903	15	2	0	0	1.0
P24928	15	2	112	0	1.0
P24941	15	2	14	0	1.0
P27037	15	2	0	0	1.0
P27105	15	2	0	0	1.0
P27144	15	2	0	0	1.0
P27169	15	2	0	0	1.0
P27216	15	2	0	0	1.0
P27338	15	2	0	0	1.0
P27348	15	2	0	0	1.0
P27352	15	2	0	0	1.0
P26583	15	2	0	0	1.0
P26599	15	2	0	0	1.0
P26639	15	2	0	0	1.0
P26640	15	2	0	0	1.0
P26641	15	2	0	0	1.0
P26651	15	2	24	0	1.0
P26678	15	2	14	0	1.0
P26715	15	2	0	0	1.0
P28039	15	2	0	0	1.0
P28062	15	2	0	0	1.0
P28065	15	2	0	0	1.0
P28066	15	2	0	0	1.0
P28067	15	2	0	0	1.0
P28068	15	2	0	0	1.0
P28069	15	2	0	0	1.0
P28070	15	2	0	0	1.0
P28072	15	2	0	0	1.0
P28074	15	2	0	0	1.0
P28161	15	2	0	0	1.0
P28221	15	2	0	0	1.0
P28222	15	2	0	0	1.0
P28223	15	2	0	0	1.0
P28288	15	2	0	0	1.0
P28289	15	2	0	0	1.0
P27361	15	2	12	0	1.0
P27448	15	2	0	0	1.0
P27449	15	2	0	0	1.0
P27469	15	2	0	0	1.0
P27482	15	2	0	0	1.0
P27487	15	2	0	0	1.0
P27539	15	2	0	0	1.0
P27540	15	2	0	0	1.0
P28332	15	2	0	0	1.0
P28335	15	2	0	0	1.0
P28336	15	2	0	0	1.0
P28340	15	2	0	0	1.0
P28347	15	2	0	0	1.0
P28356	15	2	0	0	1.0
P28358	15	2	0	0	1.0
P28360	15	2	0	0	1.0
P28290	15	2	0	0	1.0
P28300	15	2	0	0	1.0
P28324	15	2	0	0	1.0
P28325	15	2	0	0	1.0
P28328	15	2	0	0	1.0
P28329	15	2	0	0	1.0
P28330	15	2	0	0	1.0
P28331	15	2	0	0	1.0
P27797	15	2	0	0	1.0
P27815	15	2	0	0	1.0
P27816	15	2	0	0	1.0
P27824	15	2	0	0	1.0
P27918	15	2	0	0	1.0
P27930	15	2	0	0	1.0
P27986	15	2	0	0	1.0
P27987	15	2	0	0	1.0
P28907	15	2	0	0	1.0
P28908	15	2	0	0	1.0
P29016	15	2	0	0	1.0
P29017	15	2	0	0	1.0
P29033	15	2	0	0	1.0
P29034	15	2	0	0	1.0
P29074	15	2	0	0	1.0
P29083	15	2	0	0	1.0
P29084	15	2	0	0	1.0
P29120	15	2	0	0	1.0
P29122	15	2	0	0	1.0
P29144	15	2	0	0	1.0
P29218	15	2	0	0	1.0
P29274	15	2	0	0	1.0
P29275	15	2	0	0	1.0
P29279	15	2	0	0	1.0
P27544	15	2	0	0	1.0
P27635	15	2	0	0	1.0
P27658	15	2	0	0	1.0
P27694	15	2	0	0	1.0
P27695	15	2	22	0	1.0
P27701	15	2	0	0	1.0
P27707	15	2	0	0	1.0
P27708	15	2	1	0	1.0
P29373	15	2	0	0	1.0
P29374	15	2	0	0	1.0
P29375	15	2	0	0	1.0
P29376	15	2	0	0	1.0
P29377	15	2	0	0	1.0
P29400	15	2	0	0	1.0
P29401	15	2	0	0	1.0
P29459	15	2	0	0	1.0
P28702	15	2	0	0	1.0
P28715	15	2	0	0	1.0
P28749	15	2	20	0	1.0
P28799	15	2	0	0	1.0
P28827	15	2	0	0	1.0
P28838	15	2	0	0	1.0
P28845	15	2	0	0	1.0
P28906	15	2	0	0	1.0
P28370	15	2	0	0	1.0
P28472	15	2	0	0	1.0
P28476	15	2	0	0	1.0
P28482	15	2	25	0	1.0
P28562	15	2	0	0	1.0
P28566	15	2	0	0	1.0
P28676	15	2	0	0	1.0
P28698	15	2	0	0	1.0
P29972	15	2	0	0	1.0
P29973	15	2	0	0	1.0
P29992	15	2	0	0	1.0
P30038	15	2	0	0	1.0
P30039	15	2	0	0	1.0
P30040	15	2	13	0	1.0
P30041	15	2	0	0	1.0
P30043	15	2	0	0	1.0
P30044	15	2	0	0	1.0
P30046	15	2	0	0	1.0
P30047	15	2	0	0	1.0
P30048	15	2	0	0	1.0
P30049	15	2	0	0	1.0
P30050	15	2	0	0	1.0
P30084	15	2	0	0	1.0
P30085	15	2	0	0	1.0
P29460	15	2	0	0	1.0
P29466	15	2	0	0	1.0
P29474	15	2	0	0	1.0
P29475	15	2	0	0	1.0
P29508	15	2	0	0	1.0
P29536	15	2	0	0	1.0
P29558	15	2	0	0	1.0
P29590	15	2	8	0	1.0
P29317	15	2	11	0	1.0
P29320	15	2	9	0	1.0
P29322	15	2	0	0	1.0
P29323	15	2	0	0	1.0
P29350	15	2	0	0	1.0
P29353	15	2	14	0	1.0
P29371	15	2	0	0	1.0
P29372	15	2	0	0	1.0
P30086	15	2	0	0	1.0
P30101	15	2	0	0	1.0
P30153	15	2	0	0	1.0
P30154	15	2	0	0	1.0
P30203	15	2	0	0	1.0
P30260	15	2	30	0	1.0
P30273	15	2	0	0	1.0
P30279	15	2	0	0	1.0
P30531	15	2	0	0	1.0
P30532	15	2	0	0	1.0
P30533	15	2	0	0	1.0
P30536	15	2	0	0	1.0
P30542	15	2	0	0	1.0
P30550	15	2	0	0	1.0
P30556	15	2	0	0	1.0
P30559	15	2	0	0	1.0
P30566	15	2	0	0	1.0
P30613	15	2	0	0	1.0
P30622	15	2	0	0	1.0
P30626	15	2	0	0	1.0
P30679	15	2	0	0	1.0
P30711	15	2	0	0	1.0
P30740	15	2	0	0	1.0
P30793	15	2	0	0	1.0
P30825	15	2	0	0	1.0
P30837	15	2	0	0	1.0
P30838	15	2	0	0	1.0
P30872	15	2	0	0	1.0
P30874	15	2	0	0	1.0
P30876	15	2	0	0	1.0
P30926	15	2	0	0	1.0
P30939	15	2	0	0	1.0
P29597	15	2	14	0	1.0
P29622	15	2	0	0	1.0
P29692	15	2	0	0	1.0
P29728	15	2	0	0	1.0
P29762	15	2	0	0	1.0
P29803	15	2	15	0	1.0
P29965	15	2	0	0	1.0
P29966	15	2	15	0	1.0
P30953	15	2	0	0	1.0
P30954	15	2	0	0	1.0
P30968	15	2	0	0	1.0
P30988	15	2	0	0	1.0
P30989	15	2	0	0	1.0
P30990	15	2	0	0	1.0
P31025	15	2	0	0	1.0
P31040	15	2	0	0	1.0
P30411	15	2	13	0	1.0
P30414	15	2	0	0	1.0
P30419	15	2	0	0	1.0
P30511	15	2	0	0	1.0
P30518	15	2	0	0	1.0
P30519	15	2	0	0	1.0
P30520	15	2	0	0	1.0
P30530	15	2	0	0	1.0
P31146	15	2	0	0	1.0
P31150	15	2	0	0	1.0
P31151	15	2	0	0	1.0
P31152	15	2	0	0	1.0
P31153	15	2	0	0	1.0
P31213	15	2	0	0	1.0
P31249	15	2	0	0	1.0
P31260	15	2	0	0	1.0
P31267	15	2	0	0	1.0
P31268	15	2	0	0	1.0
P31269	15	2	0	0	1.0
P31270	15	2	0	0	1.0
P31271	15	2	0	0	1.0
P31273	15	2	0	0	1.0
P31274	15	2	0	0	1.0
P31275	15	2	0	0	1.0
P31371	15	2	0	0	1.0
P31391	15	2	0	0	1.0
P31415	15	2	0	0	1.0
P31431	15	2	0	0	1.0
P31483	15	2	0	0	1.0
P31512	15	2	0	0	1.0
P31513	15	2	0	0	1.0
P31629	15	2	0	0	1.0
P30281	15	2	0	0	1.0
P30291	15	2	0	0	1.0
P30301	15	2	6	0	1.0
P30304	15	2	31	0	1.0
P30305	15	2	0	0	1.0
P30307	15	2	22	0	1.0
P30405	15	2	0	0	1.0
P30408	15	2	0	0	1.0
P31276	15	2	0	0	1.0
P31277	15	2	0	0	1.0
P31314	15	2	0	0	1.0
P31321	15	2	0	0	1.0
P31323	15	2	0	0	1.0
P31327	15	2	144	0	1.0
P31350	15	2	0	0	1.0
P31358	15	2	0	0	1.0
P31930	15	2	0	0	1.0
P31937	15	2	0	0	1.0
P31939	15	2	0	0	1.0
P31941	15	2	0	0	1.0
P31942	15	2	0	0	1.0
P31943	15	2	14	0	1.0
P31944	15	2	0	0	1.0
P31946	15	2	0	0	1.0
P32245	15	2	0	0	1.0
P32246	15	2	0	0	1.0
P32247	15	2	0	0	1.0
P32248	15	2	0	0	1.0
P32249	15	2	0	0	1.0
P32297	15	2	0	0	1.0
P32298	15	2	0	0	1.0
P32302	15	2	0	0	1.0
P32314	15	2	0	0	1.0
P32320	15	2	0	0	1.0
P32321	15	2	0	0	1.0
P32322	15	2	0	0	1.0
P32418	15	2	0	0	1.0
P32455	15	2	0	0	1.0
P32456	15	2	0	0	1.0
P32519	15	2	0	0	1.0
P31639	15	2	0	0	1.0
P31641	15	2	0	0	1.0
P31644	15	2	0	0	1.0
P31645	15	2	0	0	1.0
P31689	15	2	0	0	1.0
P31749	15	2	16	0	1.0
P31751	15	2	0	0	1.0
P31785	15	2	0	0	1.0
P32942	15	2	0	0	1.0
P32969	15	2	0	0	1.0
P32970	15	2	0	0	1.0
P32971	15	2	0	0	1.0
P33032	15	2	0	0	1.0
P33076	15	2	0	0	1.0
P33121	15	2	0	0	1.0
P33151	15	2	0	0	1.0
P32119	15	2	0	0	1.0
P32121	15	2	10	0	1.0
P32189	15	2	0	0	1.0
P32238	15	2	0	0	1.0
P32239	15	2	0	0	1.0
P32241	15	2	0	0	1.0
P32242	15	2	0	0	1.0
P32243	15	2	0	0	1.0
P32745	15	2	0	0	1.0
P32754	15	2	0	0	1.0
P32780	15	2	0	0	1.0
P32856	15	2	0	0	1.0
P32881	15	2	0	0	1.0
P32926	15	2	0	0	1.0
P32927	15	2	0	0	1.0
P32929	15	2	0	0	1.0
P33176	15	2	0	0	1.0
P33240	15	2	0	0	1.0
P33241	15	2	0	0	1.0
P33260	15	2	0	0	1.0
P33261	15	2	0	0	1.0
P33316	15	2	0	0	1.0
P33402	15	2	0	0	1.0
P33527	15	2	0	0	1.0
P31947	15	2	0	0	1.0
P31948	15	2	0	0	1.0
P31949	15	2	0	0	1.0
P31994	15	2	0	0	1.0
P31995	15	2	0	0	1.0
P31997	15	2	0	0	1.0
P32004	15	2	0	0	1.0
P32019	15	2	0	0	1.0
P33552	15	2	0	0	1.0
P33681	15	2	0	0	1.0
P33763	15	2	0	0	1.0
P33764	15	2	0	0	1.0
P33778	15	2	118	0	1.0
P33897	15	2	0	0	1.0
P33908	15	2	0	0	1.0
P33947	15	2	0	0	1.0
P34810	15	2	0	0	1.0
P34820	15	2	0	0	1.0
P34896	15	2	0	0	1.0
P34897	15	2	0	0	1.0
P34903	15	2	0	0	1.0
P34910	15	2	0	0	1.0
P34913	15	2	0	0	1.0
P34925	15	2	0	0	1.0
P34995	15	2	0	0	1.0
P34998	15	2	0	0	1.0
P35030	15	2	0	0	1.0
P35052	15	2	0	0	1.0
P35070	15	2	0	0	1.0
P35080	15	2	0	0	1.0
P35125	15	2	0	0	1.0
P35212	15	2	0	0	1.0
P34931	15	2	0	0	1.0
P34932	15	2	0	0	1.0
P34947	15	2	14	0	1.0
P34949	15	2	0	0	1.0
P34969	15	2	0	0	1.0
P34972	15	2	0	0	1.0
P34981	15	2	0	0	1.0
P34982	15	2	0	0	1.0
P35232	15	2	0	0	1.0
P35236	15	2	0	0	1.0
P35237	15	2	0	0	1.0
P35240	15	2	0	0	1.0
P35241	15	2	0	0	1.0
P35243	15	2	0	0	1.0
P35244	15	2	0	0	1.0
P35247	15	2	0	0	1.0
P35325	15	2	0	0	1.0
P35326	15	2	0	0	1.0
P35346	15	2	0	0	1.0
P35348	15	2	0	0	1.0
P35354	15	2	0	0	1.0
P35367	15	2	26	0	1.0
P35368	15	2	0	0	1.0
P35372	15	2	0	0	1.0
P33981	15	2	23	0	1.0
P33991	15	2	6	0	1.0
P33992	15	2	0	0	1.0
P33993	15	2	0	0	1.0
P34059	15	2	0	0	1.0
P34096	15	2	0	0	1.0
P34130	15	2	0	0	1.0
P34741	15	2	0	0	1.0
P35218	15	2	0	0	1.0
P35219	15	2	0	0	1.0
P35221	15	2	18	0	1.0
P35222	15	2	44	0	1.0
P35225	15	2	0	0	1.0
P35226	15	2	0	0	1.0
P35227	15	2	0	0	1.0
P35228	15	2	0	0	1.0
P35249	15	2	0	0	1.0
P35250	15	2	0	0	1.0
P35251	15	2	0	0	1.0
P35268	15	2	0	0	1.0
P35269	15	2	11	0	1.0
P35270	15	2	0	0	1.0
P35318	15	2	0	0	1.0
P35321	15	2	0	0	1.0
P35573	15	2	0	0	1.0
P35575	15	2	0	0	1.0
P35579	15	2	0	0	1.0
P35580	15	2	0	0	1.0
P35590	15	2	0	0	1.0
P35606	15	2	0	0	1.0
P35609	15	2	0	0	1.0
P35610	15	2	0	0	1.0
P35462	15	2	0	0	1.0
P35475	15	2	0	0	1.0
P35498	15	2	0	0	1.0
P35499	15	2	0	0	1.0
P35503	15	2	0	0	1.0
P35504	15	2	0	0	1.0
P35520	15	2	0	0	1.0
P35523	15	2	0	0	1.0
P35398	15	2	0	0	1.0
P35408	15	2	17	0	1.0
P35410	15	2	0	0	1.0
P35414	15	2	0	0	1.0
P35442	15	2	0	0	1.0
P35443	15	2	0	0	1.0
P35452	15	2	0	0	1.0
P35453	15	2	0	0	1.0
P35659	15	2	64	0	1.0
P35663	15	2	0	0	1.0
P35670	15	2	0	0	1.0
P35680	15	2	0	0	1.0
P35711	15	2	0	0	1.0
P35712	15	2	0	0	1.0
P35713	15	2	0	0	1.0
P35716	15	2	0	0	1.0
P35749	15	2	0	0	1.0
P35754	15	2	0	0	1.0
P35789	15	2	0	0	1.0
P35790	15	2	0	0	1.0
P35813	15	2	0	0	1.0
P35858	15	2	0	0	1.0
P35869	15	2	0	0	1.0
P35900	15	2	0	0	1.0
P36268	15	2	0	0	1.0
P36269	15	2	0	0	1.0
P36382	15	2	0	0	1.0
P36383	15	2	0	0	1.0
P36402	15	2	0	0	1.0
P36404	15	2	0	0	1.0
P36405	15	2	0	0	1.0
P36406	15	2	0	0	1.0
P35611	15	2	25	0	1.0
P35612	15	2	5	0	1.0
P35613	15	2	0	0	1.0
P35625	15	2	0	0	1.0
P35626	15	2	0	0	1.0
P35637	15	2	95	0	1.0
P35638	15	2	0	0	1.0
P35658	15	2	0	0	1.0
P36507	15	2	11	0	1.0
P36508	15	2	0	0	1.0
P36537	15	2	0	0	1.0
P36542	15	2	0	0	1.0
P36543	15	2	0	0	1.0
P36544	15	2	0	0	1.0
P36551	15	2	0	0	1.0
P36575	15	2	0	0	1.0
P35527	15	2	0	0	1.0
P35542	15	2	0	0	1.0
P35548	15	2	0	0	1.0
P35555	15	2	0	0	1.0
P35556	15	2	0	0	1.0
P35557	15	2	0	0	1.0
P35558	15	2	28	0	1.0
P35568	15	2	26	0	1.0
P36959	15	2	0	0	1.0
P36969	15	2	0	0	1.0
P36980	15	2	0	0	1.0
P37023	15	2	0	0	1.0
P37058	15	2	0	0	1.0
P37059	15	2	0	0	1.0
P37088	15	2	0	0	1.0
P37108	15	2	0	0	1.0
P37173	15	2	0	0	1.0
P37198	15	2	0	0	1.0
P37231	15	2	0	0	1.0
P37235	15	2	0	0	1.0
P37268	15	2	0	0	1.0
P37275	15	2	0	0	1.0
P37287	15	2	0	0	1.0
P37288	15	2	0	0	1.0
P35908	15	2	0	0	1.0
P35913	15	2	0	0	1.0
P35914	15	2	0	0	1.0
P35916	15	2	47	0	1.0
P35968	15	2	25	0	1.0
P35998	15	2	0	0	1.0
P36021	15	2	0	0	1.0
P36222	15	2	0	0	1.0
P36897	15	2	18	0	1.0
P36915	15	2	0	0	1.0
P36941	15	2	0	0	1.0
P36952	15	2	0	0	1.0
P36954	15	2	0	0	1.0
P36955	15	2	11	0	1.0
P36956	15	2	0	0	1.0
P36957	15	2	0	0	1.0
P38435	15	2	0	0	1.0
P38484	15	2	0	0	1.0
P38567	15	2	0	0	1.0
P38570	15	2	0	0	1.0
P38571	15	2	0	0	1.0
P38606	15	2	0	0	1.0
P38646	15	2	0	0	1.0
P38919	15	2	0	0	1.0
P36578	15	2	0	0	1.0
P36639	15	2	0	0	1.0
P36776	15	2	0	0	1.0
P36871	15	2	0	0	1.0
P36873	15	2	0	0	1.0
P36888	15	2	29	0	1.0
P36894	15	2	0	0	1.0
P36896	15	2	0	0	1.0
P38935	15	2	0	0	1.0
P38936	15	2	15	0	1.0
P39019	15	2	0	0	1.0
P39023	15	2	0	0	1.0
P39059	15	2	0	0	1.0
P39060	15	2	0	0	1.0
P39086	15	2	0	0	1.0
P39210	15	2	0	0	1.0
P39656	15	2	0	0	1.0
P39687	15	2	0	0	1.0
P39748	15	2	25	0	1.0
P39877	15	2	0	0	1.0
P39880	15	2	0	0	1.0
P39900	15	2	0	0	1.0
P39905	15	2	0	0	1.0
P40121	15	2	0	0	1.0
P40123	15	2	0	0	1.0
